Year,Year_1,Number_pub,cumulative 
2015,2001,0,0
2023,2003,0,0
2012,2005,0,0
2020,2007,1,1
2007,2008,0,1
2022,2010,0,1
2020,2011,1,2
2019,2012,1,3
2016,2013,1,4
208,2014,0,4
2016,2015,4,8
2013,2016,2,10
2021,2017,0,10
2015,2018,1,11
2019,2019,2,13
2020,2020,6,19
2015,2021,1,20
2018,2022,3,23
2023,2023,3,26
2020,2024,1,27
2024,,,
2022,,,
2023,,,
2020,,,
2011,,,
2020,,,
2015,,,
2022,,,
